
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                  13356 Console                    1     22,736 K
svchost.exe                  13444 Services                   0     12,288 K
StartMenuExperienceHost.e     9052 Console                    1     20,780 K
SearchHost.exe               13516 Console                    1      7,888 K
Widgets.exe                  13472 Console                    1     29,888 K
RuntimeBroker.exe            10300 Console                    1     11,404 K
RuntimeBroker.exe             4400 Console                    1     16,328 K
svchost.exe                   2416 Console                    1     12,380 K
svchost.exe                  14632 Services                   0      8,424 K
WhatsApp.exe                 14708 Console                    1     28,488 K
dllhost.exe                  15200 Console                    1     14,236 K
mbamtray.exe                 11964 Console                    1     19,124 K
SecurityHealthService.exe    15664 Services                   0     12,292 K
smartscreen.exe              16100 Console                    1     15,972 K
TextInputHost.exe             2128 Console                    1     33,720 K
nvsphelper64.exe             15832 Console                    1     11,228 K
NVIDIA Share.exe             15416 Console                    1     22,452 K
SecurityHealthSystray.exe    13568 Console                    1     13,540 K
GoogleCrashHandler.exe       14884 Services                   0      1,740 K
ShellExperienceHost.exe      13204 Console                    1      8,420 K
RuntimeBroker.exe            15920 Console                    1     25,140 K
RuntimeBroker.exe             6964 Console                    1     13,220 K
awscns.exe                   16412 Console                    1     13,788 K
vgtray.exe                   16648 Console                    1     13,272 K
NVIDIA Share.exe             16784 Console                    1     20,440 K
GoogleCrashHandler64.exe     17192 Services                   0         96 K
dptf_helper.exe              17256 Console                    1      9,628 K
NVIDIA Web Helper.exe        16960 Console                    1     23,588 K
conhost.exe                  17064 Console                    1      5,980 K
NVIDIA Share.exe             15564 Console                    1     32,264 K
NahimicMonitorX64.exe        15448 Services                   0      7,160 K
WidgetService.exe             3864 Console                    1     12,768 K
bdagent.exe                  17528 Console                    1     20,900 K
OneDrive.exe                  8068 Console                    1     26,028 K
FileWatcher.exe              18220 Console                    1     18,300 K
RuntimeBroker.exe            17672 Console                    1     12,752 K
FileSyncHelper.exe           17588 Services                   0     10,728 K
clion64.exe                   3256 Console                    1  1,252,108 K
msedge.exe                   15644 Console                    1    208,240 K
msedge.exe                   18180 Console                    1      6,652 K
msedge.exe                   16468 Console                    1    106,856 K
msedge.exe                   17692 Console                    1     32,956 K
fsnotifier.exe               18100 Console                    1      2,576 K
conhost.exe                  18044 Console                    1      5,364 K
msedge.exe                   14916 Console                    1      8,464 K
msedge.exe                    9820 Console                    1     30,764 K
msedge.exe                    7372 Console                    1     16,656 K
msedge.exe                    3364 Console                    1     53,408 K
msedge.exe                   12160 Console                    1     20,636 K
cmd.exe                      18460 Console                    1      3,048 K
msedge.exe                   18568 Console                    1     14,392 K
msedge.exe                   18672 Console                    1     53,508 K
msedge.exe                   18700 Console                    1     38,136 K
msedge.exe                   18760 Console                    1     16,224 K
conhost.exe                  18980 Console                    1      5,304 K
MbamBgNativeMsg.exe          19200 Console                    1      8,700 K
msedge.exe                   19372 Console                    1     79,952 K
svchost.exe                  18264 Console                    1     12,088 K
msedge.exe                   20444 Console                    1     14,596 K
AWCC.Service.exe             19508 Services                   0     30,772 K
bdredline.exe                16684 Services                   0      8,152 K
bdredline.exe                19836 Services                   0      8,848 K
DDVRulesProcessor.exe        20000 Services                   0      9,984 K
Dell.D3.WinSvc.exe            3292 Services                   0     23,560 K
DellSupportAssistRemedati    20336 Services                   0     39,580 K
ServiceShell.exe             20392 Services                   0     27,708 K
XtuService.exe                1628 Services                   0     42,660 K
msedge.exe                    7172 Console                    1     21,556 K
AWCC.Background.Server.ex    18936 Console                    1     31,412 K
svchost.exe                  18900 Services                   0     18,692 K
OCControl.Service.exe         9952 Console                    1     38,568 K
ApplicationFrameHost.exe     10128 Console                    1      6,700 K
RuntimeBroker.exe             8712 Console                    1      9,244 K
AWCC.exe                     15916 Console                    1     19,644 K
msedge.exe                   13732 Console                    1     11,020 K
RuntimeBroker.exe            18392 Console                    1      9,528 K
GameLibraryAppService.exe    11444 Console                    1      8,044 K
WINWORD.EXE                  18808 Console                    1     93,008 K
ai.exe                        4760 Console                    1      9,892 K
Dell.TechHub.exe             18344 Services                   0     17,992 K
svchost.exe                  15024 Services                   0     12,088 K
FusionService.exe             6260 Services                   0     18,104 K
Dell.TechHub.Diagnostics.     2264 Services                   0     20,680 K
conhost.exe                   6548 Services                   0      6,956 K
Dell.TechHub.Analytics.Su    20512 Services                   0     32,132 K
conhost.exe                  20544 Services                   0      7,096 K
Dell.DCF.UA.Bradbury.API.    20600 Services                   0     19,192 K
conhost.exe                  20624 Services                   0      7,120 K
Dell.TechHub.DataManager.    20672 Services                   0     35,940 K
conhost.exe                  20700 Services                   0      6,928 K
Dell.TechHub.Instrumentat    20740 Services                   0     61,080 K
conhost.exe                  20796 Services                   0      8,412 K
svchost.exe                  21288 Services                   0      5,896 K
Dell.TechHub.Instrumentat    20884 Console                    1     26,888 K
SupportAssistAgent.exe        4520 Services                   0     40,908 K
svchost.exe                   3932 Services                   0      9,300 K
DDVDataCollector.exe         19484 Services                   0     26,428 K
DDVCollectorSvcApi.exe        8004 Services                   0      4,304 K
EABackgroundService.exe      13856 Services                   0     18,448 K
SpotifyWidgetProvider.exe     1792 Console                    1     22,160 K
svchost.exe                  17476 Services                   0      8,040 K
svchost.exe                  21188 Services                   0      9,620 K
svchost.exe                  19436 Console                    1     14,468 K
SystemSettingsBroker.exe     20208 Console                    1     14,272 K
msedgewebview2.exe           22056 Console                    1      9,176 K
msedgewebview2.exe           22916 Console                    1      9,256 K
msedgewebview2.exe           20660 Console                    1      4,924 K
msedgewebview2.exe            1976 Console                    1      1,860 K
msedgewebview2.exe           23616 Console                    1         20 K
msedgewebview2.exe           23816 Console                    1      2,180 K
SystemSettings.exe           22216 Console                    1      1,304 K
svchost.exe                  22932 Console                    1      7,460 K
svchost.exe                  16056 Services                   0     11,064 K
UserOOBEBroker.exe            8896 Console                    1      7,460 K
svchost.exe                  20244 Services                   0     16,416 K
XboxPcAppFT.exe              25136 Console                    1      8,432 K
svchost.exe                   4456 Services                   0      7,168 K
msedge.exe                   22384 Console                    1    177,560 K
msedge.exe                   25608 Console                    1     31,872 K
msedge.exe                   16668 Console                    1     32,292 K
Video.UI.exe                 24488 Console                    1      1,660 K
RuntimeBroker.exe            14860 Console                    1     16,012 K
msedge.exe                   23008 Console                    1     72,212 K
backgroundTaskHost.exe       24160 Console                    1      1,072 K
PhoneExperienceHost.exe      16252 Console                    1     62,824 K
msedge.exe                   14684 Console                    1     28,340 K
clangd.exe                   26028 Console                    1    291,424 K
conhost.exe                  23388 Console                    1      5,060 K
msedge.exe                   26364 Console                    1     31,176 K
msedge.exe                    9060 Console                    1     24,808 K
svchost.exe                  26368 Services                   0     22,296 K
svchost.exe                  23556 Services                   0     11,512 K
Taskmgr.exe                  24208 Console                    1     34,852 K
msedge.exe                   24392 Console                    1     69,952 K
winpty-agent.exe             27124 Console                    1      8,864 K
conhost.exe                  24128 Console                    1     12,732 K
Mazen_20220429_problem_5.    22756 Console                    1      5,732 K
cmd.exe                      21472 Console                    1      5,760 K
tasklist.exe                  2096 Console                    1     11,460 K
